year,Region,mean
2017,Central Provinces,6240.513888888889
2017,Other Provinces,NA
2017,Western Provinces,328.64
2018,Atlantic Provinces,1860.2857142857142
2018,Central Provinces,8847.614285714286
2018,Other Provinces,NA
2018,Western Provinces,166.44444444444446
2019,Atlantic Provinces,1863.5833333333333
2019,Central Provinces,9458.611111111111
2019,Other Provinces,11621.458333333334
2019,Western Provinces,3407.25
2020,Atlantic Provinces,1174.6666666666667
2020,Central Provinces,6481.180555555556
2020,Other Provinces,8755.541666666666
2020,Western Provinces,2342.684210526316
2021,Atlantic Provinces,1469.0833333333333
2021,Central Provinces,5966.6
2021,Other Provinces,8149.291666666667
2021,Western Provinces,2363.7083333333335
2022,Atlantic Provinces,1452.5
2022,Central Provinces,6093.793103448276
2022,Other Provinces,6938.227272727273
2022,Western Provinces,1082.2916666666667
2023,Atlantic Provinces,1128
2023,Central Provinces,6039.714285714285
2023,Other Provinces,5875.5
2023,Western Provinces,1157
